ID|uid|act|date|number|art|count|models
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УК|||290|1|['perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УПК|||31|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УПК|||151|1|['perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ГК|||779|1|['perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ГК|||15|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|КОАП|||12.19|1|['qwen']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ПП|17.05.2013|289-ПП|2.1|1|['qwen', 'qwen']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|36|2|['gpt', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|64|1|['gpt']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|64.1|1|['gpt']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|121|3|['gpt', 'gemini', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|1|1|['perplexity_grok']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|4|1|['perplexity_grok']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|5|1|['perplexity_grok']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|123|3|['perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|122|2|['gemini', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|21.07.1997|118-ФЗ|12|1|['gemini']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|КАС|||218|2|['gemini', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|47|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|КАС|||219|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ГПК|||441|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|АПК|||198|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|13|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|30|1|['perplexity_claude_sonnet']
1|0a758dd7-dd01-4560-853d-900b5c4b5f97|ФЗ|02.10.2007|229-ФЗ|68|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||1064|5|['qwen', 'qwen', 'gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|08.11.2007|257-ФЗ|12|1|['qwen', 'qwen']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГПК|||28|2|['qwen', 'perplexity_grok']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГПК|||29|2|['qwen', 'perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||15|3|['gpt', 'gemini', 'perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|08.11.2007|257-ФЗ|28|2|['gpt', 'gemini']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|10.12.1995|196-ФЗ|12|2|['gpt', 'gemini']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГПК|||131|1|['gpt']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|10.12.1995|№ 196-ФЗ|11|1|['perplexity_grok']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|10.12.1995|№ 196-ФЗ|12|1|['perplexity_grok']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|08.11.2007|№ 257-ФЗ|3|1|['perplexity_grok']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||1069|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||151|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|08.11.2007|257-ФЗ|3|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ФЗ|08.11.2007|257-ФЗ|5|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГПК|||24|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||1071|1|['perplexity_claude_sonnet']
2|fc3a28c4-5a19-4434-b6ed-2d39d777c8ee|ГК|||1082|1|['perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||723|5|['qwen', 'qwen', 'gpt', 'gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|"Закон Российской Федерации ""О защите прав потребителей"""|07.02.1992|2300-1|29|3|['qwen', 'qwen', 'perplexity_grok', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГПК|||29|1|['qwen']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||721|1|['gpt']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||724|1|['gpt']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||755|1|['gpt']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||730|1|['perplexity_grok']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||737|1|['perplexity_grok']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|"Закон Российской Федерации ""О защите прав потребителей"""|07.02.1992|2300-1|18|1|['perplexity_grok']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГПК|||17|1|['perplexity_grok']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|Закон РФ|07.02.1992|2300-1|29|1|['gemini']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|Закон РФ|07.02.1992|2300-1|30|1|['gemini']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|Закон РФ|07.02.1992|2300-1|31|1|['gemini']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||15|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГК|||397|1|['perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГПК|||131|1|['perplexity_claude_sonnet']
3|d52ef892-b636-4b8f-9b31-2d48935d8193|ГПК|||28|1|['perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||4.1|5|['qwen', 'gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||2.9|1|['qwen']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||24.5|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||30.1|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||30.3|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||28.6|1|['perplexity_grok']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||4.4|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
4|bc74b81b-2893-460e-9cf1-bb3a1a2f9f01|КОАП|||30.7|1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГрК|||38|1|['qwen']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 30-102-99 ""Планировка и застройка территорий малоэтажного жилищного строительства"""|30.12.1999||5.3|1|['qwen']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 53.13330.2019 ""Планировка и застройка территорий садоводческих (дачных) объединений граждан, здания и сооружения"""|26.12.2019||6.7|1|['qwen']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГК|||10|1|['qwen']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГК|||304|4|['qwen', 'gpt', 'gemini', 'perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГК|||222|2|['gpt', 'gpt', 'gemini']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГПК|||24|1|['gpt']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|СНиП 30-02-97* «Планировка и застройка территорий садоводческих (дачных) объединений граждан, здания и сооружения»|10.09.1997|без номера||1|['gpt', 'gpt']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГрК|||51|3|['perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ЗК|||42|1|['perplexity_grok']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|СП 53.13330.2019|14.10.2019|Приказ Минстроя России № 618/пр||1|['perplexity_grok']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|СП 42.13330.2016|17.12.2016|Приказ Минстроя России № 974/пр||1|['perplexity_grok']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|СП 53.13330.2019 «Планировка и застройка территории ведения гражданами садоводства. Здания и сооружения» (утв. Приказом Минстроя России от 14.10.2019 № 618/пр)|14.10.2019|618/пр||1|['gemini']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 53.13330.2019 ""Планировка и застройка территории ведения гражданами садоводства. Здания и сооружения"""|14.10.2019|618/пр|6.7|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 53.13330.2019 ""Планировка и застройка территории ведения гражданами садоводства. Здания и сооружения"""|14.10.2019|618/пр|6.8|1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 53.13330.2019 ""Планировка и застройка территории ведения гражданами садоводства. Здания и сооружения"""|14.10.2019|618/пр|6.9|1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|"Свод правил СП 4.13130.2013 ""Системы противопожарной защиты. Ограничение распространения пожара на объектах защиты. Требования к объемно-планировочным и конструктивным решениям"""|24.04.2013|176-ст||1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|Кодекс административных правонарушений Российской Федерации|30.12.2001|195-ФЗ|9.5|1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГПК|||131|1|['perplexity_claude_sonnet']
5|48713a55-c3d8-4fad-82c8-8982002c09fe|ГПК|||28|1|['perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|7|1|['qwen']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|12|3|['qwen', 'gpt', 'gemini', 'gemini']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ГК|||15|3|['qwen', 'gpt', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ГК|||1064|2|['qwen', 'gpt']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|14|1|['qwen']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ГПК|||131|1|['qwen']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|11.1|3|['gpt', 'gpt', 'gpt', 'gemini', 'perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|04.06.2018|123-ФЗ|15|1|['gemini']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|12.1|1|['perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ФЗ|25.04.2002|40-ФЗ|16.1|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ГК|||1072|1|['perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|ГПК|||24|1|['perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|Закон Российской Федерации «О защите прав потребителей»|07.02.1992|2300-I|13|1|['perplexity_claude_sonnet']
6|7cc8a96e-ff5f-4f71-b1be-23e6f9afcace|Закон Российской Федерации «О защите прав потребителей»|07.02.1992|2300-I|17|1|['perplexity_claude_sonnet']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ФЗ|03.08.2018|283-ФЗ|4|2|['qwen', 'perplexity_grok']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ПП|21.12.2019|1764|4|1|['qwen']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ПП|21.12.2019|1764|5|1|['qwen']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|КОАП|||19.22|2|['qwen', 'perplexity_claude_sonnet']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ФЗ|03.08.2018|283-ФЗ|8|2|['gpt', 'gemini']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ФЗ|03.08.2018|283-ФЗ|20|2|['gpt', 'gemini', 'gemini']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|КОАП|||12.1|3|['gpt', 'perplexity_grok', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|Приказ МВД|21.12.2019|950||1|['gpt']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ФЗ|03.08.2018|283-ФЗ|15|1|['perplexity_grok']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|ПП|21.12.2019|1764||2|['perplexity_grok', 'gemini']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|Приказ МВД|26.06.2023|430||1|['perplexity_grok']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|Приказ МВД|26.06.2018|399|6|1|['perplexity_claude_sonnet']
7|d36a9f66-d869-41f4-ae52-61ecf923b70f|Приказ МВД|26.06.2018|399|25|1|['perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||12.19|2|['qwen', 'perplexity_grok']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.1|5|['qwen', 'gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.3|5|['qwen', 'gpt', 'gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.5|1|['qwen']
8|c0c12101-5360-4c2c-8e40-197add817629|КАС|||219|1|['qwen']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.2|3|['gpt', 'perplexity_grok', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||31.1|1|['gpt']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||1.5|1|['gemini']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||2.6.1|1|['gemini']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.6|1|['perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||30.7|1|['perplexity_claude_sonnet']
8|c0c12101-5360-4c2c-8e40-197add817629|КОАП|||4.2|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|ГК|||421|2|['qwen', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|ГК|||785|1|['qwen']
9|4405cb89-f59d-4831-a589-29df715c6dee|"Закон Российской Федерации ""О защите прав потребителей"""|07.02.1992|2300-1|10|1|['qwen']
9|4405cb89-f59d-4831-a589-29df715c6dee|"Закон Российской Федерации ""О защите прав потребителей"""|07.02.1992|2300-1|29|1|['qwen']
9|4405cb89-f59d-4831-a589-29df715c6dee|ГПК|||131|1|['qwen']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||77|2|['gpt', 'perplexity_grok']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||78|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||81|2|['gpt', 'perplexity_grok']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||178|1|['gpt']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||84.1|1|['gpt']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||80|1|['perplexity_grok']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||9|1|['gemini']
9|4405cb89-f59d-4831-a589-29df715c6dee|Конституция|||37|1|['gemini']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||140|2|['gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|НК|||217|1|['gemini']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||349.3|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|ТК|||394|1|['perplexity_claude_sonnet', 'perplexity_claude_sonnet']
9|4405cb89-f59d-4831-a589-29df715c6dee|ГК|||422|1|['perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|22.05.2003|54-ФЗ|2.1|1|['qwen']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|27.11.2018|422-ФЗ|14|5|['qwen', 'gpt', 'perplexity_grok', 'gemini', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|КОАП|||15.6|1|['qwen']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|НК|||119|2|['qwen', 'perplexity_grok']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|НК|||129.13|3|['gpt', 'gemini', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|27.11.2018|422-ФЗ|11|1|['gpt']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|27.11.2018|422-ФЗ|18|1|['perplexity_grok']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|КОАП|||15.5|1|['perplexity_grok']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|27.11.2018|422-ФЗ|8|2|['perplexity_grok', 'perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|ФЗ|27.11.2018|422-ФЗ|15|1|['gemini']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|НК|||112|1|['perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|НК|||114|1|['perplexity_claude_sonnet']
10|8c54e88f-e403-481c-9bc1-f843fc35a65e|НК|||113|1|['perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГК|||304|4|['qwen', 'gpt', 'gemini', 'perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГПК|||30|3|['qwen', 'gpt', 'perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ФЗ|13.07.2015|218-ФЗ|22|1|['qwen']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ЗК|||64|2|['gpt', 'gemini']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ЗК|||60|3|['perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГК|||222|1|['perplexity_grok']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГПК|||131|2|['perplexity_grok', 'perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГПК|||132|2|['perplexity_grok', 'perplexity_claude_sonnet']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ФЗ|13.07.2015|218-ФЗ|39|1|['perplexity_grok']
11|77cbbceb-4d66-4d50-b3ac-04ceced8e86f|ГПК|||3|1|['gemini']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ФЗ|30.12.2004|214-ФЗ|7|5|['qwen', 'qwen', 'gpt', 'gpt', 'gpt', 'perplexity_grok', 'gemini', 'gemini', 'gemini', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||753|1|['qwen']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||475|3|['qwen', 'gemini', 'perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГПК|||131|2|['qwen', 'gpt']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|Закон Российской Федерации «О защите прав потребителей»|07.02.1992|2300-1|20|1|['gpt']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГПК|||132|1|['gpt']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||722|1|['perplexity_grok']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||723|1|['perplexity_grok']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||196|1|['perplexity_grok']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГПК|||28|1|['perplexity_grok']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||309|1|['perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГК|||452|1|['perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|Закон Российской Федерации «О защите прав потребителей»|07.02.1992|2300-I|22|1|['perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|Закон Российской Федерации «О защите прав потребителей»|07.02.1992|2300-I|31|1|['perplexity_claude_sonnet']
12|4a38b0d9-19d6-4ffb-bfa2-73d61994507a|ГПК|||24|1|['perplexity_claude_sonnet']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||572|1|['qwen']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ЗК|||36|2|['qwen', 'perplexity_grok']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ФЗ|13.07.2015|Федеральный закон от 13.07.2015 № 218-ФЗ|24|1|['qwen']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||339|1|['qwen']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||244|2|['gpt', 'perplexity_grok']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||246|1|['gpt']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||252|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ФЗ|13.07.2015|218-ФЗ|14|1|['gpt']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||549|1|['perplexity_grok']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ФЗ|13.07.2015|218-ФЗ|131|1|['perplexity_grok']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ГК|||567|2|['gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ФЗ|13.07.2015|218-ФЗ|42|2|['gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
13|6dbbe7a2-9848-45ba-8e5e-0a1095c7149c|ЗК|||1|1|['gemini']
